name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,pollen_intensity,admission number
"Lisbon,Portugal",2019-01-01,16.0,7.6,11.5,16.0,6.6,11.4,5.1,66.2,0.0,0,0.0,,0,0.0,,11.1,16.8,1031.6,1.2,10.1,117.2,10.3,5,,2019-01-01T07:54:47,2019-01-01T17:25:27,0.91,Clear,Clear conditions throughout the day.,clear-day,"08535099999,08534099999,D7126,08536099999,LPPT,08579099999",good,5
"Lisbon,Portugal",2019-01-02,15.9,7.6,10.9,15.9,6.2,10.5,7.4,80.2,0.0,0,0.0,,0,0.0,,16.4,343.1,1029.9,3.5,9.1,57.6,4.8,3,,2019-01-02T07:54:55,2019-01-02T17:26:16,0.95,Clear,Clear conditions throughout the day.,clear-day,"08535099999,08534099999,D7126,08536099999,LPPT,08579099999",good,3
"Lisbon,Portugal",2019-01-03,10.3,4.5,7.4,10.3,2.2,6.3,6.1,91.7,0.005,100,4.17,rain,0,0.0,40.7,12.6,53.0,1027.3,5.5,4.3,116.9,10.2,5,,2019-01-03T07:55:01,2019-01-03T17:27:06,0.97,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999",good,1
"Lisbon,Portugal",2019-01-04,13.1,6.6,9.7,13.1,4.1,8.7,6.9,84.1,0.0,0,0.0,,0,0.0,33.5,16.8,44.9,1029.9,13.1,6.5,101.0,8.8,5,,2019-01-04T07:55:05,2019-01-04T17:27:58,0.99,Clear,Clear conditions throughout the day.,clear-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999",good,5
"Lisbon,Portugal",2019-01-05,14.8,7.8,10.5,14.8,6.0,9.9,5.5,71.4,0.0,0,0.0,,0,0.0,40.7,14.9,34.9,1033.3,0.4,9.9,128.6,11.1,5,,2019-01-05T07:55:06,2019-01-05T17:28:51,1.0,Clear,Clear conditions throughout the day.,clear-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999",good,2
"Lisbon,Portugal",2019-01-06,14.2,5.3,8.7,14.2,5.3,8.4,4.6,76.4,0.0,0,0.0,,0,0.0,27.7,13.0,12.7,1031.5,1.4,10.0,118.2,10.3,5,,2019-01-06T07:55:06,2019-01-06T17:29:45,0.0,Clear,Clear conditions throughout the day.,clear-day,"08535099999,08534099999,D7126,08536099999,LPPT,08579099999",good,3
"Lisbon,Portugal",2019-01-07,15.3,5.5,10.4,15.3,3.0,9.8,-0.6,49.7,0.0,0,0.0,,0,0.0,,15.3,25.6,1029.4,0.5,10.6,123.6,10.4,5,,2019-01-07T07:55:03,2019-01-07T17:30:41,0.01,Clear,Clear conditions throughout the day.,clear-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999",good,4
"Lisbon,Portugal",2019-01-08,15.3,6.8,10.6,15.3,5.6,10.1,0.0,48.7,0.0,0,0.0,,0,0.0,38.9,14.5,32.4,1028.6,1.5,11.9,126.0,11.0,5,,2019-01-08T07:54:58,2019-01-08T17:31:37,0.03,Clear,Clear conditions throughout the day.,clear-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999",good,3
"Lisbon,Portugal",2019-01-09,17.1,6.8,11.2,17.1,6.8,11.1,4.4,64.1,0.0,0,0.0,,0,0.0,29.5,13.9,13.4,1022.9,2.5,10.8,121.1,10.4,5,,2019-01-09T07:54:51,2019-01-09T17:32:35,0.05,Clear,Clear conditions throughout the day.,clear-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999",good,2
"Lisbon,Portugal",2019-01-10,14.7,8.4,11.5,14.7,7.5,11.2,4.4,63.0,0.0,0,0.0,,0,0.0,31.7,21.5,46.6,1019.0,0.0,11.5,124.4,10.8,5,,2019-01-10T07:54:42,2019-01-10T17:33:34,0.08,Clear,Clear conditions throughout the day.,clear-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT,08579099999",good,2
